Artista,Nombre,Album,Imagen del Álbum,Popularidad,Duración (ms),Año de Lanzamiento
Taylor Swift,High Infidelity,Midnights (The Til Dawn Edition),https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0,66,231475,2023-05-26
Taylor Swift,Glitch,Midnights (The Til Dawn Edition),https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0,65,148781,2023-05-26
Taylor Swift,"Would've, Could've, Should've",Midnights (The Til Dawn Edition),https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0,68,260361,2023-05-26
Taylor Swift,Dear Reader,Midnights (The Til Dawn Edition),https://i.scdn.co/image/ab67616d0000b273fa747621a53c8e2cc436dee0,65,225194,2023-05-26
Taylor Swift,Lavender Haze,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,71,202395,2022-10-22
Taylor Swift,Maroon,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,71,218270,2022-10-22
Taylor Swift,Anti-Hero,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,71,200690,2022-10-22
Taylor Swift,Snow On The Beach (feat. Lana Del Rey),Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,69,256124,2022-10-22
Taylor Swift,"You're On Your Own, Kid",Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,71,194206,2022-10-22
Taylor Swift,Midnight Rain,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,71,174782,2022-10-22
Taylor Swift,Question...?,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,68,210556,2022-10-22
Taylor Swift,Vigilante Shit,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,70,164801,2022-10-22
Taylor Swift,Bejeweled,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,71,194165,2022-10-22
Taylor Swift,Labyrinth,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,68,247962,2022-10-22
Taylor Swift,Karma,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,76,204852,2022-10-22
Taylor Swift,Sweet Nothing,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,69,188496,2022-10-22
Taylor Swift,Mastermind,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,75,191039,2022-10-22
Taylor Swift,The Great War,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,77,240355,2022-10-22
Taylor Swift,Bigger Than The Whole Sky,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,74,218502,2022-10-22
Taylor Swift,Paris,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,73,196258,2022-10-22
